cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
GIFT-64,SPN,GIFT64-MLP-RawPair-r6-cross-spn-8192-seed0,mlp,gift64_mlp_raw_pair_cross_spn_8192,0,100,6,0,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,{},LOCAL MEDIUM DIAGNOSTIC 8192/class GIFT-64 raw-pair MLP capacity anchor seed0; strict negatives; not formal or remote-launch evidence,Innovation 1 cross-SPN representation medium raw capacity baseline
GIFT-64,SPN,GIFT64-SPNTokenMixer-RawPair-r6-cross-spn-8192-seed0,spn_token_mixer_pairset,gift64_spn_token_mixer_raw_pair_cross_spn_8192,1,110,6,0,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""mixer_depth"":1,""activation"":""relu"",""norm"":""layernorm"",""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":1.0}",LOCAL MEDIUM DIAGNOSTIC 8192/class GIFT-64 token mixer on raw pairs seed0; separates model capacity from SPN-aligned representation,Innovation 1 cross-SPN token mixer medium capacity control
GIFT-64,SPN,GIFT64-SPNTokenMixer-PairXor-r6-cross-spn-8192-seed0,spn_token_mixer_pairset,gift64_spn_token_mixer_pair_xor_cross_spn_8192,2,115,6,0,8192,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""mixer_depth"":1,""activation"":""relu"",""norm"":""layernorm"",""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":1.0}",LOCAL MEDIUM DIAGNOSTIC 8192/class GIFT-64 token mixer with C||C'||DeltaC seed0; controls for generic differential representation,Innovation 1 cross-SPN differential representation medium control
GIFT-64,SPN,GIFT64-SPNTokenMixer-SPNAlignedPairXor-r6-cross-spn-8192-seed0,spn_token_mixer_pairset,gift64_spn_token_mixer_spn_aligned_pair_xor_cross_spn_8192,3,125,6,0,8192,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""mixer_depth"":1,""activation"":""relu"",""norm"":""layernorm"",""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":1.0}",LOCAL MEDIUM DIAGNOSTIC 8192/class GIFT-64 token mixer with C||C'||DeltaC||InvP(DeltaC) seed0; tests generic SPN-aligned representation,Innovation 1 cross-SPN inverse-permutation representation medium candidate
GIFT-64,SPN,GIFT64-MLP-RawPair-r6-cross-spn-8192-seed1,mlp,gift64_mlp_raw_pair_cross_spn_8192,0,100,6,1,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,{},LOCAL MEDIUM DIAGNOSTIC 8192/class GIFT-64 raw-pair MLP capacity anchor seed1; strict negatives; not formal or remote-launch evidence,Innovation 1 cross-SPN representation medium raw capacity baseline
GIFT-64,SPN,GIFT64-SPNTokenMixer-RawPair-r6-cross-spn-8192-seed1,spn_token_mixer_pairset,gift64_spn_token_mixer_raw_pair_cross_spn_8192,1,110,6,1,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""mixer_depth"":1,""activation"":""relu"",""norm"":""layernorm"",""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":1.0}",LOCAL MEDIUM DIAGNOSTIC 8192/class GIFT-64 token mixer on raw pairs seed1; separates model capacity from SPN-aligned representation,Innovation 1 cross-SPN token mixer medium capacity control
GIFT-64,SPN,GIFT64-SPNTokenMixer-PairXor-r6-cross-spn-8192-seed1,spn_token_mixer_pairset,gift64_spn_token_mixer_pair_xor_cross_spn_8192,2,115,6,1,8192,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""mixer_depth"":1,""activation"":""relu"",""norm"":""layernorm"",""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":1.0}",LOCAL MEDIUM DIAGNOSTIC 8192/class GIFT-64 token mixer with C||C'||DeltaC seed1; controls for generic differential representation,Innovation 1 cross-SPN differential representation medium control
GIFT-64,SPN,GIFT64-SPNTokenMixer-SPNAlignedPairXor-r6-cross-spn-8192-seed1,spn_token_mixer_pairset,gift64_spn_token_mixer_spn_aligned_pair_xor_cross_spn_8192,3,125,6,1,8192,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""mixer_depth"":1,""activation"":""relu"",""norm"":""layernorm"",""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":1.0}",LOCAL MEDIUM DIAGNOSTIC 8192/class GIFT-64 token mixer with C||C'||DeltaC||InvP(DeltaC) seed1; tests generic SPN-aligned representation,Innovation 1 cross-SPN inverse-permutation representation medium candidate
GIFT-64,SPN,GIFT64-MLP-RawPair-r6-cross-spn-8192-seed2,mlp,gift64_mlp_raw_pair_cross_spn_8192,0,100,6,2,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,{},LOCAL MEDIUM DIAGNOSTIC 8192/class GIFT-64 raw-pair MLP capacity anchor seed2; strict negatives; not formal or remote-launch evidence,Innovation 1 cross-SPN representation medium raw capacity baseline
GIFT-64,SPN,GIFT64-SPNTokenMixer-RawPair-r6-cross-spn-8192-seed2,spn_token_mixer_pairset,gift64_spn_token_mixer_raw_pair_cross_spn_8192,1,110,6,2,8192,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""mixer_depth"":1,""activation"":""relu"",""norm"":""layernorm"",""pooling"":""topk_logsumexp"",""top_k"":2,""lse_temperature"":1.0}",LOCAL MEDIUM DIAGNOSTIC 8192/class GIFT-64 token mixer on raw pairs seed2; separates model capacity from SPN-aligned representation,Innovation 1 cross-SPN token mixer medium capacity control
