cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
PRESENT-80,SPN,Present-MatchedResidual-FullGlobal-r8-2048-seed0,present_pairset_global_stats,present_r8_matched_residual_audit_2048,0,100,8,0,2048,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""global_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative full beamstats global seed0 not formal evidence,Compares neural signal against deterministic pair-xor variance baseline
PRESENT-80,SPN,Present-MatchedResidual-FullTrail-r8-2048-seed0,present_trail_position_stats_pairset,present_r8_matched_residual_audit_2048,1,120,8,0,2048,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative full beamstats trail-position seed0 not formal evidence,Tests trail-position residual over deterministic weak-XOR baseline
PRESENT-80,SPN,Present-MatchedResidual-KeyRowGlobal-r8-2048-seed0,present_pairset_global_stats,present_r8_matched_residual_audit_2048,2,100,8,0,2048,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""global_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative per-row key full beamstats global seed0 not formal evidence,Checks key-rotation sensitivity under matched-negative protocol
PRESENT-80,SPN,Present-MatchedResidual-KeyRowTrail-r8-2048-seed0,present_trail_position_stats_pairset,present_r8_matched_residual_audit_2048,3,120,8,0,2048,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative per-row key full beamstats trail-position seed0 not formal evidence,Checks trail-position key-rotation sensitivity under matched-negative protocol
PRESENT-80,SPN,Present-MatchedResidual-XorGlobal-r8-2048-seed0,present_pairset_global_stats,present_r8_matched_residual_audit_2048,4,80,8,0,2048,16,ciphertext_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""global_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative ciphertext-xor seed0 not formal evidence,Checks whether weak XOR still carries sign-flipped or positive separator
PRESENT-80,SPN,Present-MatchedResidual-PAlignedGlobal-r8-2048-seed0,present_pairset_global_stats,present_r8_matched_residual_audit_2048,5,90,8,0,2048,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""global_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative P-layer aligned xor seed0 not formal evidence,Checks whether PAligned view explains matched-negative residual
PRESENT-80,SPN,Present-MatchedResidual-SInvGlobal-r8-2048-seed0,present_pairset_global_stats,present_r8_matched_residual_audit_2048,6,95,8,0,2048,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""global_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative P-layer plus InvS seed0 not formal evidence,Checks whether InvS view explains matched-negative residual
PRESENT-80,SPN,Present-MatchedResidual-FullGlobal-r8-2048-seed1,present_pairset_global_stats,present_r8_matched_residual_audit_2048,0,100,8,1,2048,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""global_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative full beamstats global seed1 not formal evidence,Compares neural signal against deterministic pair-xor variance baseline
PRESENT-80,SPN,Present-MatchedResidual-FullTrail-r8-2048-seed1,present_trail_position_stats_pairset,present_r8_matched_residual_audit_2048,1,120,8,1,2048,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative full beamstats trail-position seed1 not formal evidence,Tests trail-position residual over deterministic weak-XOR baseline
PRESENT-80,SPN,Present-MatchedResidual-KeyRowGlobal-r8-2048-seed1,present_pairset_global_stats,present_r8_matched_residual_audit_2048,2,100,8,1,2048,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""global_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative per-row key full beamstats global seed1 not formal evidence,Checks key-rotation sensitivity under matched-negative protocol
PRESENT-80,SPN,Present-MatchedResidual-KeyRowTrail-r8-2048-seed1,present_trail_position_stats_pairset,present_r8_matched_residual_audit_2048,3,120,8,1,2048,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative per-row key full beamstats trail-position seed1 not formal evidence,Checks trail-position key-rotation sensitivity under matched-negative protocol
PRESENT-80,SPN,Present-MatchedResidual-XorGlobal-r8-2048-seed1,present_pairset_global_stats,present_r8_matched_residual_audit_2048,4,80,8,1,2048,16,ciphertext_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""global_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative ciphertext-xor seed1 not formal evidence,Checks whether weak XOR still carries sign-flipped or positive separator
PRESENT-80,SPN,Present-MatchedResidual-PAlignedGlobal-r8-2048-seed1,present_pairset_global_stats,present_r8_matched_residual_audit_2048,5,90,8,1,2048,16,ciphertext_xor_spn_paligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""global_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative P-layer aligned xor seed1 not formal evidence,Checks whether PAligned view explains matched-negative residual
PRESENT-80,SPN,Present-MatchedResidual-SInvGlobal-r8-2048-seed1,present_pairset_global_stats,present_r8_matched_residual_audit_2048,6,95,8,1,2048,16,present_pair_xor_paligned_sinv_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative,0,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""global_hidden_bits"":64}",LOCAL DIAGNOSTIC matched-negative P-layer plus InvS seed1 not formal evidence,Checks whether InvS view explains matched-negative residual
