cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,integral_active_nibbles,validation_integral_active_nibbles,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
PRESENT-80,SPN,Present-PLayerRel-UnconditionedRandom16-r8-512-seed0,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,0,100,8,0,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active,0,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64}",LOCAL DIAGNOSTIC unconditioned random-active all16 baseline seed0 not formal evidence,Same-budget baseline for P-layer-relative active curriculum
PRESENT-80,SPN,Present-PLayerRel-RelativeStatsRandom16-r8-512-seed0,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,1,105,8,0,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""relative_stats""}",LOCAL DIAGNOSTIC previous simple relative-stats all16 control seed0 not formal evidence,Controls simple cell rotation against P-layer-relative conditioning
PRESENT-80,SPN,Present-PLayerRel-Active1-r8-512-seed0,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,2,115,8,0,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC P-layer-relative curriculum active1 seed0 not formal evidence,Tests fixed active under PRESENT-aware relative stats
PRESENT-80,SPN,Present-PLayerRel-Active2-r8-512-seed0,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,3,115,8,0,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0,1]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC P-layer-relative curriculum active2 seed0 not formal evidence,Checks first widening with PRESENT-aware relative stats
PRESENT-80,SPN,Present-PLayerRel-Active4-r8-512-seed0,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,4,115,8,0,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0,1,2,3]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC P-layer-relative curriculum active4 seed0 not formal evidence,Checks four-coordinate curriculum with PRESENT-aware relative stats
PRESENT-80,SPN,Present-PLayerRel-Active8-r8-512-seed0,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,5,115,8,0,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0,1,2,3,4,5,6,7]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC P-layer-relative curriculum active8 seed0 not formal evidence,Checks half-state curriculum with PRESENT-aware relative stats
PRESENT-80,SPN,Present-PLayerRel-Active16-r8-512-seed0,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,6,115,8,0,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC P-layer-relative curriculum active16 seed0 not formal evidence,Tests full random-active all16 with PRESENT-aware relative stats
PRESENT-80,SPN,Present-PLayerRel-Heldout4to4-r8-512-seed0,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,7,115,8,0,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0,1,2,3]","[4,5,6,7]",present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC P-layer-relative heldout active seed0 not formal evidence,Tests transfer to unseen active coordinates under PRESENT-aware relative stats
PRESENT-80,SPN,Present-PLayerRel-UnconditionedRandom16-r8-512-seed1,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,0,100,8,1,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active,0,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64}",LOCAL DIAGNOSTIC unconditioned random-active all16 baseline seed1 not formal evidence,Same-budget baseline for P-layer-relative active curriculum
PRESENT-80,SPN,Present-PLayerRel-RelativeStatsRandom16-r8-512-seed1,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,1,105,8,1,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""relative_stats""}",LOCAL DIAGNOSTIC previous simple relative-stats all16 control seed1 not formal evidence,Controls simple cell rotation against P-layer-relative conditioning
PRESENT-80,SPN,Present-PLayerRel-Active1-r8-512-seed1,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,2,115,8,1,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC P-layer-relative curriculum active1 seed1 not formal evidence,Tests fixed active under PRESENT-aware relative stats
PRESENT-80,SPN,Present-PLayerRel-Active2-r8-512-seed1,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,3,115,8,1,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0,1]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC P-layer-relative curriculum active2 seed1 not formal evidence,Checks first widening with PRESENT-aware relative stats
PRESENT-80,SPN,Present-PLayerRel-Active4-r8-512-seed1,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,4,115,8,1,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0,1,2,3]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC P-layer-relative curriculum active4 seed1 not formal evidence,Checks four-coordinate curriculum with PRESENT-aware relative stats
PRESENT-80,SPN,Present-PLayerRel-Active8-r8-512-seed1,present_trail_position_stats_pairset,present_r8_p_layer_relative_active_curriculum_512,5,115,8,1,512,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0,1,2,3,4,5,6,7]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC P-layer-relative curriculum active8 seed1 not formal evidence,Checks half-state curriculum with PRESENT-aware relative stats
