cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,sample_structure,integral_active_nibble,integral_active_nibbles,validation_integral_active_nibbles,difference_profile,difference_member,loss,learning_rate,optimizer,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,model_options,evidence,literature
PRESENT-80,SPN,Present-PLayerRel-SingleActive00-r8-256-seed0,present_trail_position_stats_pairset,present_r8_single_active_sweep_256,0,115,8,0,256,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[0]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC single fixed active nibble 0 seed0 not formal evidence,Checks whether fixed-active signal is position-specific
PRESENT-80,SPN,Present-PLayerRel-SingleActive01-r8-256-seed0,present_trail_position_stats_pairset,present_r8_single_active_sweep_256,1,115,8,0,256,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[1]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC single fixed active nibble 1 seed0 not formal evidence,Checks whether fixed-active signal is position-specific
PRESENT-80,SPN,Present-PLayerRel-SingleActive02-r8-256-seed0,present_trail_position_stats_pairset,present_r8_single_active_sweep_256,2,115,8,0,256,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[2]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC single fixed active nibble 2 seed0 not formal evidence,Checks whether fixed-active signal is position-specific
PRESENT-80,SPN,Present-PLayerRel-SingleActive03-r8-256-seed0,present_trail_position_stats_pairset,present_r8_single_active_sweep_256,3,115,8,0,256,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[3]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC single fixed active nibble 3 seed0 not formal evidence,Checks whether fixed-active signal is position-specific
PRESENT-80,SPN,Present-PLayerRel-SingleActive04-r8-256-seed0,present_trail_position_stats_pairset,present_r8_single_active_sweep_256,4,115,8,0,256,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[4]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC single fixed active nibble 4 seed0 not formal evidence,Checks whether fixed-active signal is position-specific
PRESENT-80,SPN,Present-PLayerRel-SingleActive05-r8-256-seed0,present_trail_position_stats_pairset,present_r8_single_active_sweep_256,5,115,8,0,256,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[5]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC single fixed active nibble 5 seed0 not formal evidence,Checks whether fixed-active signal is position-specific
PRESENT-80,SPN,Present-PLayerRel-SingleActive06-r8-256-seed0,present_trail_position_stats_pairset,present_r8_single_active_sweep_256,6,115,8,0,256,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[6]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC single fixed active nibble 6 seed0 not formal evidence,Checks whether fixed-active signal is position-specific
PRESENT-80,SPN,Present-PLayerRel-SingleActive07-r8-256-seed0,present_trail_position_stats_pairset,present_r8_single_active_sweep_256,7,115,8,0,256,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[7]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC single fixed active nibble 7 seed0 not formal evidence,Checks whether fixed-active signal is position-specific
PRESENT-80,SPN,Present-PLayerRel-SingleActive08-r8-256-seed0,present_trail_position_stats_pairset,present_r8_single_active_sweep_256,8,115,8,0,256,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[8]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC single fixed active nibble 8 seed0 not formal evidence,Checks whether fixed-active signal is position-specific
PRESENT-80,SPN,Present-PLayerRel-SingleActive09-r8-256-seed0,present_trail_position_stats_pairset,present_r8_single_active_sweep_256,9,115,8,0,256,16,present_delta_paligned_sinv_sboxddt_beamstats8deep4_cell_matrix_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,0,plaintext_integral_nibble_difference_matched_negative_random_active_metadata,0,"[9]",,present_zhang_wang2022_mcnd,0,mse,0.0001,adam,0.00001,none,0,val_auc,true,0,0.0,"{""activation"":""gelu"",""norm"":""layernorm"",""trail_depth"":4,""trail_words_per_depth"":9,""stats_hidden_bits"":64,""metadata_bits"":16,""active_conditioning"":""p_layer_relative_stats""}",LOCAL DIAGNOSTIC single fixed active nibble 9 seed0 not formal evidence,Checks whether fixed-active signal is position-specific
