model,epoch,learning_rate,train_accuracy,train_auc,train_auxiliary_loss,train_best_accuracy,train_calibrated_accuracy,train_eval_loss,train_loss,val_accuracy,val_auc,val_best_accuracy,val_calibrated_accuracy,val_loss
present_runtime_e4_equivariant_true,1.0,0.0001,0.6806285,0.747781328247,0.0,0.680977,0.680977,0.5883796938009263,0.20647292116212845,0.68065,0.747727948738,0.68126,0.68126,0.5886165869865417
present_runtime_e4_equivariant_true,2.0,0.0001,0.6816315,0.7487996078475,0.0,0.681874,0.681874,0.5875385910186768,0.20348383842134476,0.681578,0.748543902648,0.681686,0.681686,0.5879354487819671
present_runtime_e4_equivariant_true,3.0,0.0001,0.682303,0.749391091991,0.0,0.6823515,0.6823515,0.5868383088169098,0.20299743573713303,0.682009,0.748982813208,0.682119,0.682119,0.5873297540225982
present_runtime_e4_equivariant_true,4.0,0.0001,0.6795475,0.750050802868,0.0,0.6827645,0.6827645,0.5895281548748016,0.20267916266965866,0.679496,0.749508535036,0.682531,0.682531,0.5902289060993194
present_runtime_e4_equivariant_true,5.0,0.0001,0.682274,0.750480635572,0.0,0.682993,0.682993,0.5858345674400329,0.20242997609472274,0.681699,0.749664812868,0.682591,0.682591,0.5866709126644134
present_runtime_e4_equivariant_corrupted,1.0,0.0001,0.566932,0.5985946279695,0.0,0.5687305,0.5687305,0.6681581445999145,0.24143316627931594,0.56631,0.598088937758,0.567929,0.567929,0.6683712117958068
present_runtime_e4_equivariant_corrupted,2.0,0.0001,0.5692835,0.600184508661,0.0,0.5699225,0.5699225,0.6672994048995972,0.23942980205059053,0.568102,0.59938678948,0.568536,0.568536,0.6676050335311889
present_runtime_e4_equivariant_corrupted,3.0,0.0001,0.5706495,0.601598072375,0.0,0.570695,0.570695,0.6664986082019806,0.23916198091077803,0.569277,0.600526269398,0.569341,0.569341,0.6669013150215148
present_runtime_e4_equivariant_corrupted,4.0,0.0001,0.5637255,0.602333157125,0.0,0.571356,0.571356,0.6685598152160644,0.23899309248113632,0.562853,0.600744356,0.569628,0.569628,0.6690331299629212
present_runtime_e4_equivariant_corrupted,5.0,0.0001,0.5712345,0.6027465415995,0.0,0.5715625,0.5715625,0.6661819684028626,0.2388777187128067,0.569542,0.601075716554,0.569828,0.569828,0.6667539174575806
present_runtime_e4_equivariant_independent,1.0,0.0001,0.56443,0.594953329819,0.0,0.566009,0.566009,0.6689040002727509,0.2410704285387993,0.564379,0.594808964518,0.565829,0.565829,0.6690479944725036
present_runtime_e4_equivariant_independent,2.0,0.0001,0.5660165,0.5959681264655,0.0,0.5666595,0.5666595,0.6681462457313537,0.2396948012275696,0.56576,0.595854976382,0.566828,0.566828,0.6682959969711304
present_runtime_e4_equivariant_independent,3.0,0.0001,0.567012,0.596610435411,0.0,0.5674095,0.5674095,0.6678090718040466,0.23954616998672484,0.566236,0.5964096788,0.566921,0.566921,0.6680115434265137
present_runtime_e4_equivariant_independent,4.0,0.0001,0.559923,0.5966754376955,0.0,0.567461,0.567461,0.6697592493247986,0.23945849143695833,0.560028,0.596297641004,0.566976,0.566976,0.6699562411499024
present_runtime_e4_equivariant_independent,5.0,0.0001,0.567097,0.5970363121525,0.0,0.5677255,0.5677255,0.6677162150745392,0.23941613457298278,0.566602,0.596698150828,0.567404,0.567404,0.6679417799377442
