run_id,model,architecture,epoch,train_mse
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,1,4.962426890473353
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,2,0.24918813182011945
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,3,0.25006880554315103
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,4,0.2478515611715011
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,5,0.24419638718404713
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,6,0.23857537165940812
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,7,0.229926026719113
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,8,0.21679660311406224
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,9,0.199001447117098
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,10,0.17830204304459585
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,11,0.1571676749811104
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,12,0.13736187019810586
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,13,0.11985960648996752
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,14,0.10463515780429589
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,15,0.09176878373853015
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,16,0.08120076337081628
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,17,0.072320624212864
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,18,0.06520717520925245
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,19,0.059002029175815096
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,20,0.054157799785912175
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,21,0.049879764721083575
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,22,0.04642307939042212
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,23,0.04338234128380236
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,24,0.04087504996169855
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,25,0.03871032719592904
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,26,0.036638522318156674
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,27,0.03503000031832926
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,28,0.033409251637692705
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,29,0.03200744963584157
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,30,0.030900971431321977
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,31,0.02971533707776075
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,32,0.028761803442222345
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,33,0.027707299617759418
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,34,0.02694665424533582
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,35,0.02612118647994066
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,36,0.02531577919268102
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,37,0.02464361477743182
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,38,0.023889434472607718
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,39,0.023392550361762687
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,40,0.0227408094142163
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,41,0.022196647540567938
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,42,0.02176397280572928
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,43,0.021158408671936968
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,44,0.020822087885960627
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,45,0.020352218019837665
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,46,0.019962163816416023
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,47,0.019468959283074128
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,48,0.019235143050451597
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,49,0.018839834261427768
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,50,0.018407874200207175
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,51,0.018122844002718352
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,52,0.017861968254308636
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,53,0.017494989451805054
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,54,0.017304269398479732
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,55,0.016918416738462838
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,56,0.016759934795373965
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,57,0.01646289398877343
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,58,0.016228862662345023
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,59,0.016057609523357996
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,60,0.015808650907729316
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,61,0.015549045029402464
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,62,0.015355232460493085
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,63,0.01514841595800931
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,64,0.01507579276366755
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,65,0.014775456723953084
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,66,0.014630961043863522
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,67,0.014463001136618914
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,68,0.014312568735974196
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,69,0.014101607996877874
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,70,0.014017719074686852
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,71,0.013808531208724162
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,72,0.01364712874402585
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,73,0.013550363568242574
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,74,0.013399045001889931
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,75,0.013258353020859204
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,76,0.013137098224049737
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,77,0.01300485433348797
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,78,0.012927822007682721
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,79,0.012718045208799822
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,80,0.012733828105382372
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,81,0.012508614284300279
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,82,0.012516306312619463
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,83,0.01227959897082087
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,84,0.012228474354671448
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,85,0.01212616173192771
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,86,0.012004275588509472
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,87,0.011982445819498366
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,88,0.011837446017906927
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,89,0.011735533239274787
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,90,0.011761299906311251
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,91,0.011552851749598858
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,92,0.011518995709408841
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,93,0.011429496828696983
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,94,0.01138723873864933
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,95,0.011295676402198751
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,96,0.011193007660821763
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,97,0.011133020848930641
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,98,0.011038317863892644
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,99,0.010971488948285923
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_true_output,mlp,100,0.010892660535120058
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,1,4.965111181164048
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,2,0.2514472648974788
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,3,0.25259656326056756
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,4,0.2516052063820098
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,5,0.2507980827947449
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,6,0.24984165412138282
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,7,0.2477740967826776
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,8,0.24362879713908114
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,9,0.23597230520908852
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,10,0.22346192514464747
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,11,0.20601314644318336
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,12,0.1854859996074083
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,13,0.16401259153258252
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,14,0.14348531520283814
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,15,0.1250399954160457
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,16,0.10889966101626669
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,17,0.0950445210031603
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,18,0.08356279596864624
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,19,0.07398215673839559
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,20,0.0659508221835381
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,21,0.05941718574388233
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,22,0.05397156789405244
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,23,0.04944570057483588
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,24,0.04575857949407691
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,25,0.0426056800627066
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,26,0.040011341042514914
i2_output_prediction_opa2_present_r3_selected8_present_spn_key3_gpu0_20260722,selected8_mlp_label_shuffle,mlp,27,0.03764550408300238
