run_id,model,architecture,epoch,train_mse
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,1,42.76269443990671
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,2,0.33200402959852227
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,3,0.2517813069276542
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,4,0.25063310751218637
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,5,0.24990934160567235
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,6,0.24959106151712263
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,7,0.24942098313405836
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,8,0.24919090635606267
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,9,0.24899323116912342
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,10,0.24882505318311132
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,11,0.2487527467009727
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,12,0.24867270302760858
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,13,0.24865769086358114
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,14,0.24854937767310048
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,15,0.2484955928136685
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,16,0.24848276948316084
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,17,0.2484097596519632
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,18,0.2483786959415113
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,19,0.24836403601321422
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,20,0.24832823389024838
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,21,0.24828659352237992
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,22,0.2482536583641206
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,23,0.24826697448244772
i2_output_prediction_opf2_present_r4_position_bound_spn_rescnn_2p20_key7_gpu0_20260722,selected8_global_head_rescnn_anchor_true_output,rescnn,24,0.24821245814356985
